SessionTime,Lap,LapDistPct,GapToAhead
16.2,1,0.18,0.954
16.4,1,0.1822,0.952
16.6,1,0.1844,0.951
16.8,1,0.1867,0.95
17.0,1,0.1889,0.95
17.2,1,0.1911,0.951
17.4,1,0.1933,0.953
17.6,1,0.1956,0.955
17.8,1,0.1978,0.958
18.0,1,0.2,0.962
18.2,1,0.2022,0.967
18.4,1,0.2044,0.972
18.6,1,0.2067,0.978
18.8,1,0.2089,0.985
19.0,1,0.2111,0.993
19.2,1,0.2133,1.001
19.4,1,0.2156,1.01
19.6,1,0.2178,1.019
19.8,1,0.22,1.029
20.0,1,0.2222,1.039
20.2,1,0.2244,1.05
20.4,1,0.2267,1.062
20.6,1,0.2289,1.073
20.8,1,0.2311,1.086
21.0,1,0.2333,1.098
21.2,1,0.2356,1.111
21.4,1,0.2378,1.124
21.6,1,0.24,1.138
21.8,1,0.2422,1.151
22.0,1,0.2444,1.165
22.2,1,0.2467,1.179
22.4,1,0.2489,1.193
22.6,1,0.2511,1.207
22.8,1,0.2533,1.221
23.0,1,0.2556,1.235
23.2,1,0.2578,1.249
23.4,1,0.26,1.262
23.6,1,0.2622,1.276
23.8,1,0.2644,1.289
24.0,1,0.2667,1.302
24.2,1,0.2689,1.314
24.4,1,0.2711,1.327
24.6,1,0.2733,1.338
24.8,1,0.2756,1.35
25.0,1,0.2778,1.361
25.2,1,0.28,1.371
25.4,1,0.2822,1.381
25.6,1,0.2844,1.39
25.8,1,0.2867,1.399
26.0,1,0.2889,1.407
26.2,1,0.2911,1.415
26.4,1,0.2933,1.422
26.6,1,0.2956,1.428
26.8,1,0.2978,1.433
27.0,1,0.3,1.438
27.2,1,0.3022,1.442
27.4,1,0.3044,1.445
27.6,1,0.3067,1.447
27.8,1,0.3089,1.449
28.0,1,0.3111,1.45
28.2,1,0.3133,1.45
28.4,1,0.3156,1.449
28.6,1,0.3178,1.448
28.8,1,0.32,1.446
29.0,1,0.3222,1.443
29.2,1,0.3244,1.439
29.4,1,0.3267,1.434
29.6,1,0.3289,1.429
29.8,1,0.3311,1.423
30.0,1,0.3333,1.417
30.2,1,0.3356,1.409
30.4,1,0.3378,1.401
30.6,1,0.34,1.393
30.8,1,0.3422,1.383
31.0,1,0.3444,1.374
31.2,1,0.3467,1.363
31.4,1,0.3489,1.353
31.6,1,0.3511,1.341
31.8,1,0.3533,1.33
32.0,1,0.3556,1.317
32.2,1,0.3578,1.305
32.4,1,0.36,1.292
32.6,1,0.3622,1.279
32.8,1,0.3644,1.266
33.0,1,0.3667,1.252
33.2,1,0.3689,1.238
33.4,1,0.3711,1.224
33.6,1,0.3733,1.21
33.8,1,0.3756,1.197
34.0,1,0.3778,1.183
34.2,1,0.38,1.169
34.4,1,0.3822,1.155
34.6,1,0.3844,1.141
34.8,1,0.3867,1.128
35.0,1,0.3889,1.114
35.2,1,0.3911,1.102
35.4,1,0.3933,1.089
35.6,1,0.3956,1.077
35.8,1,0.3978,1.065
36.0,1,0.4,1.053
36.2,1,0.4022,1.042
36.4,1,0.4044,1.031
36.6,1,0.4067,1.021
36.8,1,0.4089,1.012
37.0,1,0.4111,1.003
37.2,1,0.4133,0.995
37.4,1,0.4156,0.987
37.6,1,0.4178,0.98
37.8,1,0.42,0.974
38.0,1,0.4222,0.968
38.2,1,0.4244,0.963
38.4,1,0.4267,0.959
38.6,1,0.4289,0.956
38.8,1,0.4311,0.953
39.0,1,0.4333,0.951
39.2,1,0.4356,0.95
39.4,1,0.4378,0.95
39.6,1,0.44,0.95
39.8,1,0.4422,0.952
40.0,1,0.4444,0.954
40.2,1,0.4467,0.957
40.4,1,0.4489,0.96
40.6,1,0.4511,0.964
40.8,1,0.4533,0.97
41.0,1,0.4556,0.975
41.2,1,0.4578,0.982
41.4,1,0.46,0.989
41.6,1,0.4622,0.997
41.8,1,0.4644,1.005
42.0,1,0.4667,1.014
42.2,1,0.4689,1.024
42.4,1,0.4711,1.034
42.6,1,0.4733,1.045
42.8,1,0.4756,1.056
43.0,1,0.4778,1.068
43.2,1,0.48,1.08
43.4,1,0.4822,1.092
43.6,1,0.4844,1.105
43.8,1,0.4867,1.118
44.0,1,0.4889,1.131
44.2,1,0.4911,1.145
44.4,1,0.4933,1.158
44.6,1,0.4956,1.172
44.8,1,0.4978,1.186
45.0,1,0.5,1.2
45.2,1,0.5022,1.214
45.4,1,0.5044,1.228
45.6,1,0.5067,1.242
45.8,1,0.5089,1.255
46.0,1,0.5111,1.269
46.2,1,0.5133,1.282
46.4,1,0.5156,1.295
46.6,1,0.5178,1.308
46.8,1,0.52,1.32
47.0,1,0.5222,1.332
47.2,1,0.5244,1.344
47.4,1,0.5267,1.355
47.6,1,0.5289,1.366
47.8,1,0.5311,1.376
48.0,1,0.5333,1.386
48.2,1,0.5356,1.395
48.4,1,0.5378,1.403
48.6,1,0.54,1.411
48.8,1,0.5422,1.418
49.0,1,0.5444,1.425
49.2,1,0.5467,1.43
49.4,1,0.5489,1.436
49.6,1,0.5511,1.44
49.8,1,0.5533,1.443
50.0,1,0.5556,1.446
50.2,1,0.5578,1.448
50.4,1,0.56,1.45
50.6,1,0.5622,1.45
50.8,1,0.5644,1.45
51.0,1,0.5667,1.449
51.2,1,0.5689,1.447
51.4,1,0.5711,1.444
51.6,1,0.5733,1.441
51.8,1,0.5756,1.437
52.0,1,0.5778,1.432
52.2,1,0.58,1.426
52.4,1,0.5822,1.42
52.6,1,0.5844,1.413
52.8,1,0.5867,1.405
53.0,1,0.5889,1.397
53.2,1,0.5911,1.388
53.4,1,0.5933,1.379
53.6,1,0.5956,1.369
53.8,1,0.5978,1.358
54.0,1,0.6,1.347
54.2,1,0.6022,1.335
54.4,1,0.6044,1.323
54.6,1,0.6067,1.311
54.8,1,0.6089,1.298
55.0,1,0.6111,1.286
55.2,1,0.6133,1.272
55.4,1,0.6156,1.259
55.6,1,0.6178,1.245
55.8,1,0.62,1.231
56.0,1,0.6222,1.217
56.2,1,0.6244,1.203
56.4,1,0.6267,1.19
56.6,1,0.6289,1.176
56.8,1,0.6311,1.162
57.0,1,0.6333,1.148
57.2,1,0.6356,1.134
57.4,1,0.6378,1.121
57.6,1,0.64,1.108
57.8,1,0.6422,1.095
58.0,1,0.6444,1.083
58.2,1,0.6467,1.07
58.4,1,0.6489,1.059
58.6,1,0.6511,1.047
58.8,1,0.6533,1.037
59.0,1,0.6556,1.026
59.2,1,0.6578,1.017
59.4,1,0.66,1.007
59.6,1,0.6622,0.999
59.8,1,0.6644,0.991
60.0,1,0.6667,0.983
60.2,1,0.6689,0.977
60.4,1,0.6711,0.971
60.6,1,0.6733,0.966
60.8,1,0.6756,0.961
61.0,1,0.6778,0.957
61.2,1,0.68,0.954
61.4,1,0.6822,0.952
61.6,1,0.6844,0.951
61.8,1,0.6867,0.95
62.0,1,0.6889,0.95
62.2,1,0.6911,0.951
62.4,1,0.6933,0.953
62.6,1,0.6956,0.955
62.8,1,0.6978,0.958
63.0,1,0.7,0.962
63.2,1,0.7022,0.967
63.4,1,0.7044,0.972
63.6,1,0.7067,0.978
63.8,1,0.7089,0.985
64.0,1,0.7111,0.993
64.2,1,0.7133,1.001
64.4,1,0.7156,1.01
64.6,1,0.7178,1.019
64.8,1,0.72,1.029
65.0,1,0.7222,1.039
65.2,1,0.7244,1.05
65.4,1,0.7267,1.062
65.6,1,0.7289,1.073
65.8,1,0.7311,1.086
66.0,1,0.7333,1.098
66.2,1,0.7356,1.111
66.4,1,0.7378,1.124
66.6,1,0.74,1.138
66.8,1,0.7422,1.151
67.0,1,0.7444,1.165
67.2,1,0.7467,1.179
67.4,1,0.7489,1.193
67.6,1,0.7511,1.207
67.8,1,0.7533,1.221
68.0,1,0.7556,1.235
68.2,1,0.7578,1.249
68.4,1,0.76,1.262
68.6,1,0.7622,1.276
68.8,1,0.7644,1.289
69.0,1,0.7667,1.302
69.2,1,0.7689,1.314
69.4,1,0.7711,1.327
69.6,1,0.7733,1.338
69.8,1,0.7756,1.35
70.0,1,0.7778,1.361
70.2,1,0.78,1.371
70.4,1,0.7822,1.381
70.6,1,0.7844,1.39
70.8,1,0.7867,1.399
71.0,1,0.7889,1.407
71.2,1,0.7911,1.415
71.4,1,0.7933,1.422
71.6,1,0.7956,1.428
71.8,1,0.7978,1.433
72.0,1,0.8,1.438
72.2,1,0.8022,1.442
72.4,1,0.8044,1.445
72.6,1,0.8067,1.447
72.8,1,0.8089,1.449
73.0,1,0.8111,1.45
73.2,1,0.8133,1.45
73.4,1,0.8156,1.449
73.6,1,0.8178,1.448
73.8,1,0.82,1.446
74.0,1,0.8222,1.443
74.2,1,0.8244,1.439
74.4,1,0.8267,1.434
74.6,1,0.8289,1.429
74.8,1,0.8311,1.423
75.0,1,0.8333,1.417
75.2,1,0.8356,1.409
75.4,1,0.8378,1.401
75.6,1,0.84,1.393
75.8,1,0.8422,1.383
76.0,1,0.8444,1.374
76.2,1,0.8467,1.363
76.4,1,0.8489,1.353
76.6,1,0.8511,1.341
76.8,1,0.8533,1.33
77.0,1,0.8556,1.317
77.2,1,0.8578,1.305
77.4,1,0.86,1.292
77.6,1,0.8622,1.279
77.8,1,0.8644,1.266
78.0,1,0.8667,1.252
78.2,1,0.8689,1.238
78.4,1,0.8711,1.224
78.6,1,0.8733,1.21
78.8,1,0.8756,1.197
79.0,1,0.8778,1.183
79.2,1,0.88,1.169
79.4,1,0.8822,1.155
79.6,1,0.8844,1.141
79.8,1,0.8867,1.128
80.0,1,0.8889,1.114
80.2,1,0.8911,1.102
80.4,1,0.8933,1.089
80.6,1,0.8956,1.077
80.8,1,0.8978,1.065
81.0,1,0.9,1.053
81.2,1,0.9022,1.042
81.4,1,0.9044,1.031
81.6,1,0.9067,1.021
81.8,1,0.9089,1.012
82.0,1,0.9111,1.003
82.2,1,0.9133,0.995
82.4,1,0.9156,0.987
82.6,1,0.9178,0.98
82.8,1,0.92,0.974
83.0,1,0.9222,0.968
83.2,1,0.9244,0.963
83.4,1,0.9267,0.959
83.6,1,0.9289,0.956
83.8,1,0.9311,0.953
84.0,1,0.9333,0.951
84.2,1,0.9356,0.95
84.4,1,0.9378,0.95
84.6,1,0.94,0.95
84.8,1,0.9422,0.952
85.0,1,0.9444,0.954
85.2,1,0.9467,0.957
85.4,1,0.9489,0.96
85.6,1,0.9511,0.964
85.8,1,0.9533,0.97
86.0,1,0.9556,0.975
86.2,1,0.9578,0.982
86.4,1,0.96,0.989
86.6,1,0.9622,0.997
86.8,1,0.9644,1.005
87.0,1,0.9667,1.014
87.2,1,0.9689,1.024
87.4,1,0.9711,1.034
87.6,1,0.9733,1.045
87.8,1,0.9756,1.056
88.0,1,0.9778,1.068
88.2,1,0.98,1.08
88.4,1,0.9822,1.092
88.6,1,0.9844,1.105
88.8,1,0.9867,1.118
89.0,1,0.9889,1.131
89.2,1,0.9911,1.145
89.4,1,0.9933,1.158
89.6,1,0.9956,1.172
89.8,1,0.9978,1.186
90.0,2,0.0,1.2
90.2,2,0.0022,1.214
90.4,2,0.0044,1.228
90.6,2,0.0067,1.242
90.8,2,0.0089,1.255
91.0,2,0.0111,1.269
91.2,2,0.0133,1.282
91.4,2,0.0156,1.295
91.6,2,0.0178,1.308
91.8,2,0.02,1.32
92.0,2,0.0222,1.332
92.2,2,0.0244,1.344
92.4,2,0.0267,1.355
92.6,2,0.0289,1.366
92.8,2,0.0311,1.376
93.0,2,0.0333,1.386
93.2,2,0.0356,1.395
93.4,2,0.0378,1.403
93.6,2,0.04,1.411
93.8,2,0.0422,1.418
94.0,2,0.0444,1.425
94.2,2,0.0467,1.43
94.4,2,0.0489,1.436
94.6,2,0.0511,1.44
94.8,2,0.0533,1.443
95.0,2,0.0556,1.446
95.2,2,0.0578,1.448
95.4,2,0.06,1.45
95.6,2,0.0622,1.45
95.8,2,0.0644,1.45
96.0,2,0.0667,1.449
96.2,2,0.0689,1.447
96.4,2,0.0711,1.444
96.6,2,0.0733,1.441
96.8,2,0.0756,1.437
97.0,2,0.0778,1.432
97.2,2,0.08,1.426
97.4,2,0.0822,1.42
97.6,2,0.0844,1.413
97.8,2,0.0867,1.405
98.0,2,0.0889,1.397
98.2,2,0.0911,1.388
98.4,2,0.0933,1.379
98.6,2,0.0956,1.369
98.8,2,0.0978,1.358
99.0,2,0.1,1.347
99.2,2,0.1022,1.335
99.4,2,0.1044,1.323
99.6,2,0.1067,1.311
99.8,2,0.1089,1.298
100.0,2,0.1111,1.286
100.2,2,0.1133,1.272
100.4,2,0.1156,1.259
100.6,2,0.1178,1.245
100.8,2,0.12,1.231
101.0,2,0.1222,1.217
101.2,2,0.1244,1.203
101.4,2,0.1267,1.19
101.6,2,0.1289,1.176
101.8,2,0.1311,1.162
102.0,2,0.1333,1.148
102.2,2,0.1356,1.134
102.4,2,0.1378,1.121
102.6,2,0.14,1.108
102.8,2,0.1422,1.095
103.0,2,0.1444,1.083
103.2,2,0.1467,1.07
103.4,2,0.1489,1.059
103.6,2,0.1511,1.047
103.8,2,0.1533,1.037
104.0,2,0.1556,1.026
104.2,2,0.1578,1.017
104.4,2,0.16,1.007
104.6,2,0.1622,0.999
104.8,2,0.1644,0.991
105.0,2,0.1667,0.983
105.2,2,0.1689,0.977
105.4,2,0.1711,0.971
105.6,2,0.1733,0.966
105.8,2,0.1756,0.961
106.0,2,0.1778,0.957
106.2,2,0.18,0.954
106.4,2,0.1822,0.952
106.6,2,0.1844,0.951
106.8,2,0.1867,0.95
107.0,2,0.1889,0.95
107.2,2,0.1911,0.951
107.4,2,0.1933,0.953
107.6,2,0.1956,0.955
107.8,2,0.1978,0.958
108.0,2,0.2,0.962
108.2,2,0.2022,0.967
108.4,2,0.2044,0.972
108.6,2,0.2067,0.978
108.8,2,0.2089,0.985
109.0,2,0.2111,0.993
109.2,2,0.2133,1.001
109.4,2,0.2156,1.01
109.6,2,0.2178,1.019
109.8,2,0.22,1.029
110.0,2,0.2222,1.039
110.2,2,0.2244,1.05
110.4,2,0.2267,1.062
110.6,2,0.2289,1.073
110.8,2,0.2311,1.086
111.0,2,0.2333,1.098
111.2,2,0.2356,1.111
111.4,2,0.2378,1.124
111.6,2,0.24,1.138
111.8,2,0.2422,1.151
112.0,2,0.2444,1.165
112.2,2,0.2467,1.179
112.4,2,0.2489,1.193
112.6,2,0.2511,1.207
112.8,2,0.2533,1.221
113.0,2,0.2556,1.235
113.2,2,0.2578,1.249
113.4,2,0.26,1.262
113.6,2,0.2622,1.276
113.8,2,0.2644,1.289
114.0,2,0.2667,1.302
114.2,2,0.2689,1.314
114.4,2,0.2711,1.327
114.6,2,0.2733,1.338
114.8,2,0.2756,1.35
115.0,2,0.2778,1.361
115.2,2,0.28,1.371
115.4,2,0.2822,1.381
115.6,2,0.2844,1.39
115.8,2,0.2867,1.399
116.0,2,0.2889,1.407
116.2,2,0.2911,1.415
116.4,2,0.2933,1.422
116.6,2,0.2956,1.428
116.8,2,0.2978,1.433
117.0,2,0.3,1.438
117.2,2,0.3022,1.442
117.4,2,0.3044,1.445
117.6,2,0.3067,1.447
117.8,2,0.3089,1.449
118.0,2,0.3111,1.45
118.2,2,0.3133,1.45
118.4,2,0.3156,1.449
118.6,2,0.3178,1.448
118.8,2,0.32,1.446
119.0,2,0.3222,1.443
119.2,2,0.3244,1.439
119.4,2,0.3267,1.434
119.6,2,0.3289,1.429
119.8,2,0.3311,1.423
120.0,2,0.3333,1.417
120.2,2,0.3356,1.409
120.4,2,0.3378,1.401
120.6,2,0.34,1.393
120.8,2,0.3422,1.383
121.0,2,0.3444,1.374
121.2,2,0.3467,1.363
121.4,2,0.3489,1.353
121.6,2,0.3511,1.341
121.8,2,0.3533,1.33
122.0,2,0.3556,1.317
122.2,2,0.3578,1.305
122.4,2,0.36,1.292
122.6,2,0.3622,1.279
122.8,2,0.3644,1.266
123.0,2,0.3667,1.252
123.2,2,0.3689,1.238
123.4,2,0.3711,1.224
123.6,2,0.3733,1.21
123.8,2,0.3756,1.197
124.0,2,0.3778,1.183
124.2,2,0.38,1.169
124.4,2,0.3822,1.155
124.6,2,0.3844,1.141
124.8,2,0.3867,1.128
125.0,2,0.3889,1.114
125.2,2,0.3911,1.102
125.4,2,0.3933,1.089
125.6,2,0.3956,1.077
125.8,2,0.3978,1.065
126.0,2,0.4,1.053
126.2,2,0.4022,1.042
126.4,2,0.4044,1.031
126.6,2,0.4067,1.021
126.8,2,0.4089,1.012
127.0,2,0.4111,1.003
127.2,2,0.4133,0.995
127.4,2,0.4156,0.987
127.6,2,0.4178,0.98
127.8,2,0.42,0.974
128.0,2,0.4222,0.968
128.2,2,0.4244,0.963
128.4,2,0.4267,0.959
128.6,2,0.4289,0.956
128.8,2,0.4311,0.953
129.0,2,0.4333,0.951
129.2,2,0.4356,0.95
129.4,2,0.4378,0.95
129.6,2,0.44,0.95
129.8,2,0.4422,0.952
130.0,2,0.4444,0.954
130.2,2,0.4467,0.957
130.4,2,0.4489,0.96
130.6,2,0.4511,0.964
130.8,2,0.4533,0.97
131.0,2,0.4556,0.975
131.2,2,0.4578,0.982
131.4,2,0.46,0.989
131.6,2,0.4622,0.997
131.8,2,0.4644,1.005
132.0,2,0.4667,1.014
132.2,2,0.4689,1.024
132.4,2,0.4711,1.034
132.6,2,0.4733,1.045
132.8,2,0.4756,1.056
133.0,2,0.4778,1.068
133.2,2,0.48,1.08
133.4,2,0.4822,1.092
133.6,2,0.4844,1.105
133.8,2,0.4867,1.118
134.0,2,0.4889,1.131
134.2,2,0.4911,1.145
134.4,2,0.4933,1.158
134.6,2,0.4956,1.172
134.8,2,0.4978,1.186
135.0,2,0.5,1.2
135.2,2,0.5022,1.214
135.4,2,0.5044,1.228
135.6,2,0.5067,1.242
135.8,2,0.5089,1.255
136.0,2,0.5111,1.269
136.2,2,0.5133,1.282
136.4,2,0.5156,1.295
136.6,2,0.5178,1.308
136.8,2,0.52,1.32
137.0,2,0.5222,1.332
137.2,2,0.5244,1.344
137.4,2,0.5267,1.355
137.6,2,0.5289,1.366
137.8,2,0.5311,1.376
138.0,2,0.5333,1.386
138.2,2,0.5356,1.395
138.4,2,0.5378,1.403
138.6,2,0.54,1.411
138.8,2,0.5422,1.418
139.0,2,0.5444,1.425
139.2,2,0.5467,1.43
139.4,2,0.5489,1.436
139.6,2,0.5511,1.44
139.8,2,0.5533,1.443
140.0,2,0.5556,1.446
140.2,2,0.5578,1.448
140.4,2,0.56,1.45
140.6,2,0.5622,1.45
140.8,2,0.5644,1.45
141.0,2,0.5667,1.449
141.2,2,0.5689,1.447
141.4,2,0.5711,1.444
141.6,2,0.5733,1.441
141.8,2,0.5756,1.437
142.0,2,0.5778,1.432
142.2,2,0.58,1.426
142.4,2,0.5822,1.42
142.6,2,0.5844,1.413
142.8,2,0.5867,1.405
143.0,2,0.5889,1.397
143.2,2,0.5911,1.388
143.4,2,0.5933,1.379
143.6,2,0.5956,1.369
143.8,2,0.5978,1.358
144.0,2,0.6,1.347
144.2,2,0.6022,1.335
144.4,2,0.6044,1.323
144.6,2,0.6067,1.311
144.8,2,0.6089,1.298
145.0,2,0.6111,1.286
145.2,2,0.6133,1.272
145.4,2,0.6156,1.259
145.6,2,0.6178,1.245
145.8,2,0.62,1.231
146.0,2,0.6222,1.217
146.2,2,0.6244,1.203
146.4,2,0.6267,1.19
146.6,2,0.6289,1.176
146.8,2,0.6311,1.162
147.0,2,0.6333,1.148
147.2,2,0.6356,1.134
147.4,2,0.6378,1.121
147.6,2,0.64,1.108
147.8,2,0.6422,1.095
148.0,2,0.6444,1.083
148.2,2,0.6467,1.07
148.4,2,0.6489,1.059
148.6,2,0.6511,1.047
148.8,2,0.6533,1.037
149.0,2,0.6556,1.026
149.2,2,0.6578,1.017
149.4,2,0.66,1.007
149.6,2,0.6622,0.999
149.8,2,0.6644,0.991
150.0,2,0.6667,0.983
150.2,2,0.6689,0.977
150.4,2,0.6711,0.971
150.6,2,0.6733,0.966
150.8,2,0.6756,0.961
151.0,2,0.6778,0.957
151.2,2,0.68,0.954
151.4,2,0.6822,0.952
151.6,2,0.6844,0.951
151.8,2,0.6867,0.95
152.0,2,0.6889,0.95
152.2,2,0.6911,0.951
152.4,2,0.6933,0.953
152.6,2,0.6956,0.955
152.8,2,0.6978,0.958
153.0,2,0.7,0.962
153.2,2,0.7022,0.967
153.4,2,0.7044,0.972
153.6,2,0.7067,0.978
153.8,2,0.7089,0.985
154.0,2,0.7111,0.993
154.2,2,0.7133,1.001
154.4,2,0.7156,1.01
154.6,2,0.7178,1.019
154.8,2,0.72,1.029
155.0,2,0.7222,1.039
155.2,2,0.7244,1.05
155.4,2,0.7267,1.062
155.6,2,0.7289,1.073
155.8,2,0.7311,1.086
156.0,2,0.7333,1.098
156.2,2,0.7356,1.111
156.4,2,0.7378,1.124
156.6,2,0.74,1.138
156.8,2,0.7422,1.151
157.0,2,0.7444,1.165
157.2,2,0.7467,1.179
157.4,2,0.7489,1.193
157.6,2,0.7511,1.207
157.8,2,0.7533,1.221
158.0,2,0.7556,1.235
158.2,2,0.7578,1.249
158.4,2,0.76,1.262
158.6,2,0.7622,1.276
158.8,2,0.7644,1.289
159.0,2,0.7667,1.302
159.2,2,0.7689,1.314
159.4,2,0.7711,1.327
159.6,2,0.7733,1.338
159.8,2,0.7756,1.35
160.0,2,0.7778,1.361
160.2,2,0.78,1.371
160.4,2,0.7822,1.381
160.6,2,0.7844,1.39
160.8,2,0.7867,1.399
161.0,2,0.7889,1.407
161.2,2,0.7911,1.415
161.4,2,0.7933,1.422
161.6,2,0.7956,1.428
161.8,2,0.7978,1.433
162.0,2,0.8,1.438
162.2,2,0.8022,1.442
162.4,2,0.8044,1.445
162.6,2,0.8067,1.447
162.8,2,0.8089,1.449
163.0,2,0.8111,1.45
163.2,2,0.8133,1.45
163.4,2,0.8156,1.449
163.6,2,0.8178,1.448
163.8,2,0.82,1.446
164.0,2,0.8222,1.443
164.2,2,0.8244,1.439
164.4,2,0.8267,1.434
164.6,2,0.8289,1.429
164.8,2,0.8311,1.423
165.0,2,0.8333,1.417
165.2,2,0.8356,1.409
165.4,2,0.8378,1.401
165.6,2,0.84,1.393
165.8,2,0.8422,1.383
166.0,2,0.8444,1.374
166.2,2,0.8467,1.363
166.4,2,0.8489,1.353
166.6,2,0.8511,1.341
166.8,2,0.8533,1.33
167.0,2,0.8556,1.317
167.2,2,0.8578,1.305
167.4,2,0.86,1.292
167.6,2,0.8622,1.279
167.8,2,0.8644,1.266
168.0,2,0.8667,1.252
168.2,2,0.8689,1.238
168.4,2,0.8711,1.224
168.6,2,0.8733,1.21
168.8,2,0.8756,1.197
169.0,2,0.8778,1.183
169.2,2,0.88,1.169
169.4,2,0.8822,1.155
169.6,2,0.8844,1.141
169.8,2,0.8867,1.128
170.0,2,0.8889,1.114
170.2,2,0.8911,1.102
170.4,2,0.8933,1.089
170.6,2,0.8956,1.077
170.8,2,0.8978,1.065
171.0,2,0.9,1.053
171.2,2,0.9022,1.042
171.4,2,0.9044,1.031
171.6,2,0.9067,1.021
171.8,2,0.9089,1.012
172.0,2,0.9111,1.003
172.2,2,0.9133,0.995
172.4,2,0.9156,0.987
172.6,2,0.9178,0.98
172.8,2,0.92,0.974
173.0,2,0.9222,0.968
173.2,2,0.9244,0.963
173.4,2,0.9267,0.959
173.6,2,0.9289,0.956
173.8,2,0.9311,0.953
174.0,2,0.9333,0.951
174.2,2,0.9356,0.95
174.4,2,0.9378,0.95
174.6,2,0.94,0.95
174.8,2,0.9422,0.952
175.0,2,0.9444,0.954
175.2,2,0.9467,0.957
175.4,2,0.9489,0.96
175.6,2,0.9511,0.964
175.8,2,0.9533,0.97
176.0,2,0.9556,0.975
176.2,2,0.9578,0.982
176.4,2,0.96,0.989
176.6,2,0.9622,0.997
176.8,2,0.9644,1.005
177.0,2,0.9667,1.014
177.2,2,0.9689,1.024
177.4,2,0.9711,1.034
177.6,2,0.9733,1.045
177.8,2,0.9756,1.056
178.0,2,0.9778,1.068
178.2,2,0.98,1.08
178.4,2,0.9822,1.092
178.6,2,0.9844,1.105
178.8,2,0.9867,1.118
179.0,2,0.9889,1.131
179.2,2,0.9911,1.145
179.4,2,0.9933,1.158
179.6,2,0.9956,1.172
179.8,2,0.9978,1.186
180.0,3,0.0,1.2
180.2,3,0.0022,1.212
180.4,3,0.0044,1.224
180.6,3,0.0067,1.236
180.8,3,0.0089,1.248
181.0,3,0.0111,1.26
181.2,3,0.0133,1.272
181.4,3,0.0156,1.283
181.6,3,0.0178,1.294
181.8,3,0.02,1.304
182.0,3,0.0222,1.315
182.2,3,0.0244,1.325
182.4,3,0.0267,1.334
182.6,3,0.0289,1.343
182.8,3,0.0311,1.351
183.0,3,0.0333,1.359
183.2,3,0.0356,1.366
183.4,3,0.0378,1.373
183.6,3,0.04,1.379
183.8,3,0.0422,1.384
184.0,3,0.0444,1.389
184.2,3,0.0467,1.393
184.4,3,0.0489,1.396
184.6,3,0.0511,1.399
184.8,3,0.0533,1.401
185.0,3,0.0556,1.402
185.2,3,0.0578,1.402
185.4,3,0.06,1.402
185.6,3,0.0622,1.4
185.8,3,0.0644,1.398
186.0,3,0.0667,1.395
186.2,3,0.0689,1.392
186.4,3,0.0711,1.387
186.6,3,0.0733,1.382
186.8,3,0.0756,1.376
187.0,3,0.0778,1.37
187.2,3,0.08,1.362
